Date,Open,High,Low,Close,Adj Close,Volume
2019-05-10,9.000000,9.100000,8.800000,8.900000,8.900000,201920
2019-05-13,8.700000,8.700000,7.900000,8.200000,8.200000,450880
2019-05-14,8.200000,8.500000,7.900000,8.300000,8.300000,199240
2019-05-15,8.400000,8.500000,7.900000,8.000000,8.000000,228420
2019-05-16,8.100000,8.100000,7.100000,7.500000,7.500000,465810
2019-05-17,7.400000,7.500000,7.000000,7.100000,7.100000,204290
2019-05-20,7.200000,7.300000,6.700000,7.000000,7.000000,242170
2019-05-21,7.100000,7.200000,6.700000,7.000000,7.000000,141330
2019-05-22,6.900000,6.900000,6.700000,6.800000,6.800000,104980
2019-05-23,6.800000,7.000000,6.700000,6.900000,6.900000,123030
2019-05-24,7.000000,7.300000,6.700000,7.000000,7.000000,150250
2019-05-28,7.000000,7.200000,6.600000,6.800000,6.800000,190780
2019-05-29,6.900000,6.900000,6.500000,6.700000,6.700000,116450
2019-05-30,6.800000,6.800000,6.400000,6.600000,6.600000,146120
2019-05-31,6.600000,9.000000,6.500000,8.600000,8.600000,1252960
2019-06-03,9.200000,9.200000,7.700000,8.500000,8.500000,592360
2019-06-04,8.400000,8.500000,7.800000,8.200000,8.200000,202300
2019-06-05,8.000000,8.200000,7.100000,7.600000,7.600000,245810
2019-06-06,7.200000,7.300000,6.800000,7.000000,7.000000,313670
2019-06-07,7.000000,7.500000,6.900000,7.200000,7.200000,189330
2019-06-10,7.400000,7.500000,7.000000,7.200000,7.200000,133270
2019-06-11,7.300000,7.400000,6.800000,6.900000,6.900000,148630
2019-06-12,6.900000,7.700000,6.800000,7.600000,7.600000,282500
2019-06-13,7.500000,7.600000,7.000000,7.100000,7.100000,165240
2019-06-14,7.200000,7.400000,7.000000,7.000000,7.000000,145110
2019-06-17,7.000000,7.300000,6.900000,7.200000,7.200000,151580
2019-06-18,7.200000,7.300000,7.000000,7.200000,7.200000,98450
2019-06-19,7.000000,7.300000,7.000000,7.200000,7.200000,57530
2019-06-20,7.300000,7.500000,6.900000,7.500000,7.500000,300850
2019-06-21,7.400000,8.000000,7.200000,7.600000,7.600000,469500
2019-06-24,7.500000,7.600000,7.000000,7.400000,7.400000,288610
2019-06-25,7.300000,7.300000,7.000000,7.100000,7.100000,176100
2019-06-26,7.100000,7.100000,6.900000,6.900000,6.900000,265170
2019-06-27,6.900000,7.300000,6.800000,7.000000,7.000000,207130
2019-06-28,7.000000,7.000000,6.600000,6.700000,6.700000,1436780
2019-07-01,6.900000,7.000000,6.600000,7.000000,7.000000,276220
2019-07-02,6.900000,7.000000,6.800000,6.900000,6.900000,93630
2019-07-03,6.900000,7.000000,6.700000,6.900000,6.900000,125000
2019-07-05,6.800000,6.900000,6.700000,6.800000,6.800000,173740
2019-07-08,6.900000,7.400000,6.800000,7.000000,7.000000,415150
2019-07-09,7.100000,7.500000,6.900000,7.300000,7.300000,370630
2019-07-10,7.300000,7.400000,7.100000,7.200000,7.200000,143230
2019-07-11,7.200000,7.300000,7.100000,7.200000,7.200000,105470
2019-07-12,7.200000,7.300000,6.900000,7.000000,7.000000,170570
2019-07-15,7.000000,7.500000,6.900000,7.300000,7.300000,342720
2019-07-16,7.300000,7.400000,7.100000,7.400000,7.400000,172000
2019-07-17,7.500000,8.200000,7.400000,7.600000,7.600000,586240
2019-07-18,7.900000,7.900000,7.200000,7.200000,7.200000,234170
2019-07-19,7.500000,7.500000,7.100000,7.100000,7.100000,196950
2019-07-22,7.000000,7.100000,6.800000,6.900000,6.900000,331950
2019-07-23,6.900000,6.900000,6.600000,6.800000,6.800000,284050
2019-07-24,6.800000,7.000000,6.700000,6.900000,6.900000,129060
2019-07-25,7.000000,7.000000,6.600000,6.700000,6.700000,173050
2019-07-26,6.700000,6.700000,6.300000,6.400000,6.400000,225630
2019-07-29,6.400000,6.400000,5.900000,6.200000,6.200000,183100
2019-07-30,6.200000,6.300000,5.800000,6.300000,6.300000,179880
2019-07-31,6.200000,6.500000,6.200000,6.200000,6.200000,103710
2019-08-01,6.700000,7.800000,6.600000,7.100000,7.100000,1628880
2019-08-02,6.900000,7.000000,6.600000,6.900000,6.900000,213810
2019-08-05,6.600000,7.200000,6.500000,6.700000,6.700000,154950
2019-08-06,7.000000,7.000000,6.500000,6.600000,6.600000,109820
2019-08-07,6.700000,6.900000,6.500000,6.600000,6.600000,108590
2019-08-08,6.700000,6.900000,6.400000,6.700000,6.700000,140620
2019-08-09,6.800000,6.900000,6.300000,6.500000,6.500000,175530
2019-08-12,6.500000,6.700000,6.300000,6.500000,6.500000,103390
2019-08-13,6.400000,6.800000,6.300000,6.600000,6.600000,153980
2019-08-14,6.600000,6.800000,6.400000,6.600000,6.600000,138110
2019-08-15,6.500000,6.700000,6.500000,6.700000,6.700000,108290
2019-08-16,6.600000,6.800000,6.500000,6.700000,6.700000,102590
2019-08-19,6.800000,7.000000,6.600000,6.800000,6.800000,164490
2019-08-20,6.800000,7.000000,6.700000,6.800000,6.800000,92270
2019-08-21,6.800000,7.200000,6.800000,6.900000,6.900000,186990
2019-08-22,7.000000,7.100000,6.800000,6.900000,6.900000,52480
2019-08-23,6.800000,6.800000,6.600000,6.600000,6.600000,73470
2019-08-26,6.800000,6.900000,6.700000,6.700000,6.700000,48120
2019-08-27,6.700000,7.300000,6.700000,7.000000,7.000000,190360
2019-08-28,6.900000,7.100000,6.800000,6.900000,6.900000,64740
2019-08-29,6.900000,7.200000,6.900000,7.000000,7.000000,94840
2019-08-30,7.000000,7.200000,6.900000,6.900000,6.900000,55220
2019-09-03,6.900000,6.900000,6.700000,6.800000,6.800000,52970
2019-09-04,6.700000,6.900000,6.600000,6.700000,6.700000,51180
2019-09-05,6.700000,6.900000,6.600000,6.800000,6.800000,55960
2019-09-06,6.800000,6.900000,6.600000,6.800000,6.800000,65380
2019-09-09,6.800000,7.200000,6.700000,7.100000,7.100000,120510
2019-09-10,9.000000,10.800000,8.700000,9.200000,9.200000,3620950
2019-09-11,9.500000,10.400000,9.200000,9.800000,9.800000,993050
2019-09-12,9.700000,9.800000,8.900000,9.200000,9.200000,405450
2019-09-13,9.100000,9.700000,8.500000,9.400000,9.400000,337810
2019-09-16,9.500000,10.100000,9.200000,9.900000,9.900000,604580
2019-09-17,10.000000,11.200000,10.000000,10.500000,10.500000,743170
2019-09-18,10.800000,10.800000,9.900000,9.900000,9.900000,345280
2019-09-19,10.000000,10.100000,9.500000,9.600000,9.600000,95130
2019-09-20,9.600000,10.100000,9.500000,9.800000,9.800000,171440
2019-09-23,10.400000,10.500000,9.900000,9.900000,9.900000,305730
2019-09-24,9.900000,10.000000,9.300000,9.500000,9.500000,157650
2019-09-25,9.700000,9.700000,9.000000,9.100000,9.100000,195260
2019-09-26,9.100000,9.200000,8.200000,8.700000,8.700000,193990
2019-09-27,8.500000,8.800000,8.100000,8.600000,8.600000,175700
2019-09-30,8.800000,8.800000,8.300000,8.400000,8.400000,108540
2019-10-01,8.700000,8.700000,8.300000,8.300000,8.300000,86370
2019-10-02,8.400000,8.500000,8.300000,8.300000,8.300000,44000
2019-10-03,8.400000,8.600000,8.200000,8.600000,8.600000,55440
2019-10-04,8.600000,8.800000,8.300000,8.400000,8.400000,69840
2019-10-07,8.300000,8.600000,8.300000,8.300000,8.300000,60920
2019-10-08,8.300000,8.400000,8.100000,8.100000,8.100000,62800
2019-10-09,8.100000,8.300000,7.700000,8.100000,8.100000,71370
2019-10-10,7.900000,8.400000,7.900000,8.200000,8.200000,53890
2019-10-11,8.400000,8.400000,8.200000,8.300000,8.300000,34800
2019-10-14,8.200000,8.400000,8.100000,8.200000,8.200000,39980
2019-10-15,8.300000,8.300000,8.200000,8.200000,8.200000,48230
2019-10-16,8.300000,9.500000,8.200000,9.200000,9.200000,286550
2019-10-17,9.300000,9.600000,8.700000,9.200000,9.200000,148800
2019-10-18,9.500000,9.600000,8.900000,9.100000,9.100000,118710
2019-10-21,9.500000,9.500000,9.200000,9.400000,9.400000,115370
2019-10-22,9.500000,9.500000,9.200000,9.400000,9.400000,63780
2019-10-23,9.400000,9.500000,9.200000,9.500000,9.500000,94560
2019-10-24,9.400000,9.500000,9.100000,9.300000,9.300000,68790
2019-10-25,9.100000,9.300000,9.100000,9.200000,9.200000,66870
2019-10-28,9.200000,9.400000,9.100000,9.200000,9.200000,72520
2019-10-29,9.200000,9.200000,8.400000,8.700000,8.700000,129300
2019-10-30,8.800000,9.200000,8.700000,8.700000,8.700000,65410
2019-10-31,8.800000,9.100000,8.800000,9.000000,9.000000,59880
2019-11-01,9.100000,9.100000,8.800000,8.900000,8.900000,62860
2019-11-04,5.600000,6.600000,5.500000,5.700000,5.700000,1671720
2019-11-05,5.600000,5.900000,5.500000,5.600000,5.600000,364050
2019-11-06,5.500000,5.500000,4.700000,5.300000,5.300000,535450
